,country,year,Inflation,Unemployment Rate,avg_wage,exchange_rate,old_age_dependency,pop_tertiary_ed,public_spend,working_age
430,"Korea, Rep.",2010,2.93928652655687,3.3199999332428,36357.649756566,1156.46,16.9,61.449047,0.279,73.0687374642088
431,"Korea, Rep.",2009,2.75649654493925,3.35999989509583,35795.4389762404,1277.245833,16.4,60.575958,0.342,72.8113189313625
432,"Korea, Rep.",2008,4.6738965553341,2.96000003814697,35610.8652657547,1100.125833,15.9,57.842369,0.248,72.5461315558131
433,"Korea, Rep.",2007,2.53457382137933,3.00999999046326,35717.3675812774,929.375833,15.3,55.490356,0.223,72.3211769835278
434,"Korea, Rep.",2006,2.24234028518923,3.25,34961.1397758726,955.340833,14.8,52.953865,0.206,72.1183418275772
435,"Korea, Rep.",2005,2.75379162735036,3.48000001907349,34516.4997738323,1024.328333,14.3,50.858059,0.183,71.8913139003176
436,"Korea, Rep.",2004,3.59066298882577,3.42000007629395,33483.632293358,1146.249167,13.7,49.056168,0.159,71.7967854387995
437,"Korea, Rep.",2003,3.51487451459936,3.34999990463257,32744.8087085357,1191.645833,13.2,46.514172,0.123,71.7600500957043
438,"Korea, Rep.",2002,2.76226210296605,3.04999995231628,31577.9483855717,1251.6025,12.6,41.017273,0.106,71.6877579088695
439,"Korea, Rep.",2001,4.06657587897791,3.70000004768372,30528.13740471,1290.79,12.0,38.955528,0.12,71.6628023495971
440,"Korea, Rep.",2000,2.25916580080153,4.05999994277954,29505.4946772628,1130.3625,11.2,36.81242,0.072,71.6939806409154
441,Lithuania,2020,1.19989444983569,8.48999977111816,39610.5961607839,0.875506,34.7,56.18409,0.2424444444444445,64.9693190071881
442,Lithuania,2019,2.33450937988024,6.26000022888184,37305.1416069086,0.893276,3.9,55.187374,0.2424444444444445,65.0527265146459
443,Lithuania,2018,2.69792779208397,6.15000009536743,34952.3131506065,0.846773,8.068421052631578,55.581402,0.2424444444444445,65.2430216084648
444,Lithuania,2017,3.72288862303693,7.07000017166138,33424.6070551171,0.885206,4.0,55.625957,0.232,65.6068558951039
445,Lithuania,2016,0.905525075460439,7.8600001335144,31601.144875693,0.903421,8.068421052631578,54.926018,0.221,66.1011967642807
446,Lithuania,2015,-0.884097405500613,9.11999988555908,30054.9233850064,0.901296,30.7,54.769646,0.227,66.5247574105617
447,Lithuania,2014,0.103758009433715,10.6999998092651,28207.8855905848,0.753097,4.0,52.552208,0.192,66.8287314748568
448,Lithuania,2013,1.04747937065349,11.7700004577637,26980.8543566851,0.753304,4.0,50.487457,0.221,67.0079917124485
449,Lithuania,2012,3.08998277055416,13.3599996566772,25996.2472989433,0.778004,4.0,48.577328,0.237,67.09629546823
450,Lithuania,2011,4.13027562645087,15.3900003433228,25569.1616428109,0.718576,4.0,48.213768,0.374,67.1888059881398
451,Lithuania,2010,1.31921362055463,17.8099994659424,25057.9202665736,0.754846,4.0,46.317448,0.559,67.4769120896577
452,Lithuania,2009,4.4530445651853,13.789999961853,24963.1840584199,0.719426,4.0,43.724075,0.667,67.6824608722787
453,Lithuania,2008,10.9258856241655,5.82999992370605,28747.0852331434,0.682656,4.0,41.594246,0.199,67.5925839072438
454,Lithuania,2007,5.73717382799847,4.25,28231.0539076296,0.730921,4.0,38.886436,0.16,67.4232978274668
455,Lithuania,2006,3.73912004060656,5.78000020980835,26503.5775632622,0.797099,4.0,38.863228,0.171,67.2362146522389
456,Lithuania,2005,2.65848484065266,8.31999969482422,23143.5491459094,0.803413,4.0,36.882675,0.153,67.1088404150458
457,Lithuania,2004,1.16410252104669,10.6800003051758,20950.0278468997,0.805315,4.0,48.12426894117647,0.116,67.0156078947657
458,Lithuania,2003,-1.13430854990244,12.8699998855591,18879.7125867485,0.886488,4.0,48.12426894117647,0.155,66.9028161966076
459,Lithuania,2002,0.281506610345511,13.0100002288818,17041.9116614241,1.064921,4.1,48.12426894117647,0.16,66.6948585940554
460,Lithuania,2001,1.36712030817826,16.8400001525879,15964.5222317196,1.15848,4.2,48.12426894117647,0.146,66.4718998437544
461,Lithuania,2000,0.981615478857527,15.9300003051758,15121.808383641,1.15848,23.7,39.739216,0.174,66.2213597581849
462,Luxembourg,2020,0.819957302126994,6.76999998092651,71222.8927682139,0.875506,22.3,58.153271,1.0089444444444444,69.4652553167527
463,Luxembourg,2019,1.74332075653843,5.59000015258789,71250.8412977186,0.893276,24.4,54.989532,1.0089444444444444,69.5322441988184
464,Luxembourg,2018,1.52819524307373,5.59000015258789,71131.6950721728,0.846773,23.031578947368427,54.780186,1.0089444444444444,69.547824656633
465,Luxembourg,2017,1.73079959118897,5.51999998092651,71070.972989562,0.885206,23.8,51.395588,1.113,69.5318251257259
466,Luxembourg,2016,0.290833333333306,6.28999996185303,70174.4519655124,0.903421,23.031578947368427,51.431648,1.174,69.4153316685491
467,Luxembourg,2015,0.4747431614378,6.67000007629395,70388.5812017006,0.901296,22.0,49.945854,1.385,69.2386829469545
468,Luxembourg,2014,0.628543985440705,5.84999990463257,70029.042596837,0.752728,23.1,52.928135,1.382,69.1261535585506
469,Luxembourg,2013,1.73403963519166,5.84999990463257,68852.512316231,0.752945,22.8,48.131443,1.427,69.0612818804545
470,Luxembourg,2012,2.66284165508017,5.1399998664856,68035.0928885926,0.778338,22.6,49.882286,1.233,68.9680046407208
471,Luxembourg,2011,3.4106834106834,4.90000009536743,68750.4342044103,0.718414,22.4,46.64621,1.086,68.7115487382102
472,Luxembourg,2010,2.27367911621542,4.3600001335144,68363.8881172044,0.754309,22.4,44.22842,1.159,68.4114700968334
473,Luxembourg,2009,0.368041997888919,5.11999988555908,68323.7111808846,0.716958,22.5,44.463192,1.185,68.1951774166655
474,Luxembourg,2008,3.40187963025566,5.05999994277954,66260.3779114158,0.679923,22.8,38.727974,0.865,67.9731994671
475,Luxembourg,2007,2.31245861786128,4.07000017166138,66606.5032982332,0.729672,23.1,35.748882,0.859,67.7482124702078
476,Luxembourg,2006,2.66631494577072,4.73000001907349,64851.3713224359,0.796433,23.4,33.489594,0.91,67.5637534619299
477,Luxembourg,2005,2.48769665164086,4.48999977111816,63966.1687716434,0.8038,23.6,37.013,0.977,67.3994737204183
478,Luxembourg,2004,2.22567916428892,5.1100001335144,63658.6375618668,0.803922,23.6,45.57881288235295,0.923,67.3015380988347
