year,unitid,inst_name,state_abbr,inst_control,institution_level
"2020","409254","Erikson Institute","IL","Private not-for-profit","Four or more years"
"2020","144971","Eureka College","IL","Private not-for-profit","Four or more years"
"2020","145275","Garrett-Evangelical Theological Seminary","IL","Private not-for-profit","Four or more years"
"2020","145336","Governors State University","IL","Public","Four or more years"
"2020","145372","Greenville University","IL","Private not-for-profit","Four or more years"
"2020","145497","Hebrew Theological College","IL","Private not-for-profit","Four or more years"
"2020","145628","Illinois College of Optometry","IL","Private not-for-profit","Four or more years"
"2020","145691","Illinois College","IL","Private not-for-profit","Four or more years"
"2020","145725","Illinois Institute of Technology","IL","Private not-for-profit","Four or more years"
"2020","145813","Illinois State University","IL","Public","Four or more years"
"2020","145646","Illinois Wesleyan University","IL","Private not-for-profit","Four or more years"
"2020","145886","Institute for Clinical Social Work","IL","Private not-for-profit","Four or more years"
"2020","146339","Judson University","IL","Private not-for-profit","Four or more years"
"2020","146427","Knox College","IL","Private not-for-profit","Four or more years"
"2020","146481","Lake Forest College","IL","Private not-for-profit","Four or more years"
"2020","146490","Lake Forest Graduate School of Management","IL","Private not-for-profit","Four or more years"
"2020","146533","Lakeview College of Nursing","IL","Private not-for-profit","Four or more years"
"2020","146612","Lewis University","IL","Private not-for-profit","Four or more years"
"2020","146667","Lincoln Christian University","IL","Private not-for-profit","Four or more years"
"2020","146676","Lincoln College","IL","Private not-for-profit","Four or more years"
"2020","146719","Loyola University Chicago","IL","Private not-for-profit","Four or more years"
"2020","146728","Lutheran School of Theology at Chicago","IL","Private not-for-profit","Four or more years"
"2020","146825","MacMurray College","IL","Private not-for-profit","Four or more years"
"2020","146977","McCormick Theological Seminary","IL","Private not-for-profit","Four or more years"
"2020","147013","McKendree University","IL","Private not-for-profit","Four or more years"
"2020","147031","Meadville Lombard Theological School","IL","Private not-for-profit","Four or more years"
"2020","147129","Methodist College","IL","Private not-for-profit","Four or more years"
"2020","439020","Midwest College of Oriental Medicine-Evanston","IL","Private for-profit","Four or more years"
"2020","143853","Midwestern University-Downers Grove","IL","Private not-for-profit","Four or more years"
"2020","147244","Millikin University","IL","Private not-for-profit","Four or more years"
"2020","147341","Monmouth College","IL","Private not-for-profit","Four or more years"
"2020","147369","Moody Bible Institute","IL","Private not-for-profit","Four or more years"
"2020","147536","National Louis University","IL","Private not-for-profit","Four or more years"
"2020","147590","National University of Health Sciences","IL","Private not-for-profit","Four or more years"
"2020","147660","North Central College","IL","Private not-for-profit","Four or more years"
"2020","147679","North Park University","IL","Private not-for-profit","Four or more years"
"2020","147776","Northeastern Illinois University","IL","Public","Four or more years"
"2020","147697","Northern Baptist Theological Seminary","IL","Private not-for-profit","Four or more years"
"2020","147703","Northern Illinois University","IL","Public","Four or more years"
"2020","443030","NorthShore University HealthSystem School of Nurse Anesthesia","IL","Private not-for-profit","Four or more years"
"2020","260992","Northwestern College","IL","Private for-profit","Four or more years"
"2020","147767","Northwestern University","IL","Private not-for-profit","Four or more years"
"2020","147828","Olivet Nazarene University","IL","Private not-for-profit","Four or more years"
"2020","442842","Pacific College of Health Science-Chicago","IL","Private for-profit","Four or more years"
"2020","148016","Principia College","IL","Private not-for-profit","Four or more years"
"2020","148131","Quincy University","IL","Private not-for-profit","Four or more years"
"2020","448673","Rasmussen University-Illinois","IL","Private for-profit","Four or more years"
"2020","149763","Resurrection University","IL","Private not-for-profit","Four or more years"
"2020","148335","Robert Morris University Illinois","IL","Private not-for-profit","Four or more years"
"2020","148405","Rockford University","IL","Private not-for-profit","Four or more years"
"2020","148487","Roosevelt University","IL","Private not-for-profit","Four or more years"
"2020","145558","Rosalind Franklin University of Medicine and Science","IL","Private not-for-profit","Four or more years"
"2020","148511","Rush University","IL","Private not-for-profit","Four or more years"
"2020","149028","Saint Anthony College of Nursing","IL","Private not-for-profit","Four or more years"
"2020","148876","Saint Augustine College","IL","Private not-for-profit","Four or more years"
"2020","148575","Saint Francis Medical Center College of Nursing","IL","Private not-for-profit","Four or more years"
"2020","148627","Saint Xavier University","IL","Private not-for-profit","Four or more years"
"2020","143048","School of the Art Institute of Chicago","IL","Private not-for-profit","Four or more years"
"2020","149222","Southern Illinois University-Carbondale","IL","Public","Four or more years"
"2020","149231","Southern Illinois University-Edwardsville","IL","Public","Four or more years"
"2020","149240","Southern Illinois University-System Office","IL","Public","Four or more years"
"2020","148982","Spertus College","IL","Private not-for-profit","Four or more years"
"2020","148593","St. John's College-Department of Nursing","IL","Private not-for-profit","Four or more years"
"2020","149329","Telshe Yeshiva-Chicago","IL","Private not-for-profit","Four or more years"
"2020","143978","The Chicago School of Professional Psychology at Chicago","IL","Private not-for-profit","Four or more years"
