year,unitid,inst_name,state_abbr,level_of_study,enrollment_fall
"2020","122977","Santa Monica College","CA","Undergraduate","25948"
"2020","123095","Saybrook University","CA","Graduate","785"
"2020","123165","Scripps College","CA","Graduate","22"
"2020","123165","Scripps College","CA","Undergraduate","936"
"2020","123280","Shasta Bible College and Graduate School","CA","Graduate","10"
"2020","123280","Shasta Bible College and Graduate School","CA","Undergraduate","31"
"2020","123299","Shasta College","CA","Undergraduate","8121"
"2020","123457","Simpson University","CA","Graduate","159"
"2020","123457","Simpson University","CA","Undergraduate","696"
"2020","123509","Skyline College","CA","Undergraduate","8747"
"2020","110778","Sofia University","CA","Graduate","1504"
"2020","110778","Sofia University","CA","Undergraduate","10"
"2020","399911","Soka University of America","CA","Graduate","11"
"2020","399911","Soka University of America","CA","Undergraduate","392"
"2020","123563","Solano Community College","CA","Undergraduate","9251"
"2020","123572","Sonoma State University","CA","Graduate","763"
"2020","123572","Sonoma State University","CA","Undergraduate","7255"
"2020","123633","South Baylo University","CA","Graduate","306"
"2020","123952","Southern California Institute of Architecture","CA","Graduate","232"
"2020","123952","Southern California Institute of Architecture","CA","Undergraduate","249"
"2020","399869","Southern California Institute of Technology","CA","Undergraduate","568"
"2020","117575","Southern California Seminary","CA","Graduate","124"
"2020","117575","Southern California Seminary","CA","Undergraduate","50"
"2020","117672","Southern California University of Health Sciences","CA","Graduate","807"
"2020","117672","Southern California University of Health Sciences","CA","Undergraduate","418"
"2020","490063","Southern States University","CA","Graduate","284"
"2020","490063","Southern States University","CA","Undergraduate","74"
"2020","123970","Southwestern Law School","CA","Graduate","886"
"2020","446561","Stanbridge University","CA","Graduate","190"
"2020","446561","Stanbridge University","CA","Undergraduate","1508"
"2020","243744","Stanford University","CA","Graduate","9587"
"2020","243744","Stanford University","CA","Undergraduate","6366"
"2020","123916","Starr King School for the Ministry","CA","Graduate","87"
"2020","447953","SUM Bible College and Theological Seminary","CA","Graduate","167"
"2020","447953","SUM Bible College and Theological Seminary","CA","Undergraduate","417"
"2020","488800","Teachers College of San Joaquin","CA","Graduate","236"
"2020","488800","Teachers College of San Joaquin","CA","Undergraduate","632"
"2020","455433","The Chicago School of Professional Psychology at Irvine","CA","Graduate","474"
"2020","455664","The Chicago School of Professional Psychology at Los Angeles","CA","Graduate","2949"
"2020","455664","The Chicago School of Professional Psychology at Los Angeles","CA","Undergraduate","182"
"2020","491190","The Chicago School of Professional Psychology at San Diego","CA","Graduate","116"
"2020","117751","The Master's University and Seminary","CA","Graduate","800"
"2020","117751","The Master's University and Seminary","CA","Undergraduate","1649"
"2020","475228","The Santa Barbara and Ventura Colleges of Law at Santa Barbara","CA","Graduate","78"
"2020","125037","The Santa Barbara and Ventura Colleges of Law at Ventura","CA","Graduate","230"
"2020","126012","The Wright Institute","CA","Graduate","514"
"2020","124292","Thomas Aquinas College","CA","Undergraduate","462"
"2020","126049","Thomas Jefferson School of Law","CA","Graduate","247"
"2020","459736","Touro University California","CA","Graduate","1321"
"2020","459727","Touro University Worldwide","CA","Graduate","1613"
"2020","459727","Touro University Worldwide","CA","Undergraduate","518"
"2020","123448","Trinity Law School","CA","Graduate","377"
"2020","447050","United States University","CA","Graduate","1853"
"2020","447050","United States University","CA","Undergraduate","128"
"2020","459204","Unitek College","CA","Undergraduate","3618"
"2020","442930","University of Antelope Valley","CA","Graduate","40"
"2020","442930","University of Antelope Valley","CA","Undergraduate","691"
"2020","110635","University of California-Berkeley","CA","Graduate","11528"
"2020","110635","University of California-Berkeley","CA","Undergraduate","30799"
"2020","110644","University of California-Davis","CA","Graduate","7912"
"2020","110644","University of California-Davis","CA","Undergraduate","31162"
"2020","110398","University of California-Hastings College of Law","CA","Graduate","1026"
"2020","110653","University of California-Irvine","CA","Graduate","6665"
"2020","110653","University of California-Irvine","CA","Undergraduate","29638"
"2020","110662","University of California-Los Angeles","CA","Graduate","12953"
"2020","110662","University of California-Los Angeles","CA","Undergraduate","31636"
"2020","445188","University of California-Merced","CA","Graduate","742"
"2020","445188","University of California-Merced","CA","Undergraduate","8276"
"2020","110671","University of California-Riverside","CA","Graduate","3741"
"2020","110671","University of California-Riverside","CA","Undergraduate","22693"
"2020","110680","University of California-San Diego","CA","Graduate","7734"
"2020","110680","University of California-San Diego","CA","Undergraduate","31842"
"2020","110699","University of California-San Francisco","CA","Graduate","3201"
"2020","110705","University of California-Santa Barbara","CA","Graduate","2983"
"2020","110705","University of California-Santa Barbara","CA","Undergraduate","23196"
"2020","110714","University of California-Santa Cruz","CA","Graduate","1954"
"2020","110714","University of California-Santa Cruz","CA","Undergraduate","17207"
"2020","447801","University of East-West Medicine","CA","Graduate","119"
"2020","117140","University of La Verne","CA","Graduate","2863"
"2020","117140","University of La Verne","CA","Undergraduate","4120"
"2020","484631","University of Phoenix-California","CA","Graduate","787"
"2020","484631","University of Phoenix-California","CA","Undergraduate","2392"
"2020","121691","University of Redlands","CA","Graduate","1724"
"2020","121691","University of Redlands","CA","Undergraduate","2842"
"2020","488785","University of Saint Katherine","CA","Graduate","11"
"2020","488785","University of Saint Katherine","CA","Undergraduate","238"
"2020","122436","University of San Diego","CA","Graduate","3332"
"2020","122436","University of San Diego","CA","Undergraduate","5529"
"2020","122612","University of San Francisco","CA","Graduate","4216"
"2020","122612","University of San Francisco","CA","Undergraduate","5852"
"2020","123961","University of Southern California","CA","Graduate","26501"
"2020","123961","University of Southern California","CA","Undergraduate","19786"
"2020","367954","University of St. Augustine for Health Sciences","CA","Graduate","4711"
"2020","120883","University of the Pacific","CA","Graduate","2739"
"2020","120883","University of the Pacific","CA","Undergraduate","3524"
"2020","488846","University of the People","CA","Graduate","9614"
"2020","488846","University of the People","CA","Undergraduate","34108"
"2020","449870","University of the West","CA","Graduate","124"
"2020","449870","University of the West","CA","Undergraduate","114"
"2020","484862","University of West Los Angeles","CA","Graduate","226"
"2020","484862","University of West Los Angeles","CA","Undergraduate","3"
"2020","123651","Vanguard University of Southern California","CA","Graduate","292"
"2020","123651","Vanguard University of Southern California","CA","Undergraduate","1997"
"2020","441229","West Coast Ultrasound Institute","CA","Undergraduate","809"
"2020","489858","West Coast University-Center for Graduate Studies","CA","Graduate","529"
"2020","443331","West Coast University-Los Angeles","CA","Undergraduate","2413"
"2020","458229","West Coast University-Ontario","CA","Undergraduate","2408"
"2020","458210","West Coast University-Orange County","CA","Graduate","1340"
"2020","458210","West Coast University-Orange County","CA","Undergraduate","2990"
"2020","125471","West Los Angeles College","CA","Undergraduate","11417"
"2020","490133","Westcliff University","CA","Graduate","2233"
"2020","490133","Westcliff University","CA","Undergraduate","981"
"2020","112525","Western University of Health Sciences","CA","Graduate","3813"
"2020","125718","Westminster Theological Seminary in California","CA","Graduate","134"
"2020","125727","Westmont College","CA","Undergraduate","1226"
"2020","125763","Whittier College","CA","Graduate","74"
"2020","125763","Whittier College","CA","Undergraduate","1490"
"2020","122728","William Jessup University","CA","Graduate","551"
"2020","122728","William Jessup University","CA","Undergraduate","1289"
"2020","125897","Woodbury University","CA","Graduate","112"
"2020","125897","Woodbury University","CA","Undergraduate","1020"
"2020","401223","World Mission University","CA","Graduate","192"
"2020","401223","World Mission University","CA","Undergraduate","178"
